"assetType","slNo","customer","partName","partNo","revision","manufactureNo","manufactureYear","category","pressTonnage","mechNo","toolingLife","speed","model","cavityNo","incomingDate","location","size","weightKg","materialModel","thickness","materialWidthStep","ppepNo","blankingGap","designer","platingSupplier","productionFlowChart","firstSubmissionDate","designChangeDate","status","productPosition"
"Tooling","45","STL","JAW / jaw","NVE84462 / 51207154AB","00 / 06","D21.TL.58","2024","Progressive Tooling","110T","","","90","Progressive Tooling / （2 Cav.）","1&2","","","","","CuFe2P","1.2","62*21","REG4-AAAPSY / REG4-AAAPSX","Unilateral / 0.1mm","Shen Xiaozhi","","Stamping---Plating---Packaging---Finished Product","-","","Use","CHINA"
"Tooling","46","STL","Out put phase copper","S1B13954","1","D21.TL.79","2024","Progressive Tooling","110T","","","70","Progressive Tooling / （2 Cav.）","1&2","","","","","T2Y2","1.2","53*10","REG10-AAAQKT","Unilateral / 0.10mm","Lin Peng","","Stamping---Plating---Packaging---Finished Product","-","","Use","CHINA"
"Tooling","47","STL","BIMETAL SUPPORT(HIGH RATING) / BIMETAL SUPPORT","S1B83820&S1B22374","03 / 06","Transfer tooling","2024","Progressive Tooling","110T","","","60","Progressive Tooling / （1 Cav.）","H / NO","","","","","D03C390","1.2","22*24","REG4-AAARSZ / REG4-AAARSY","Unilateral / 0.11mm","","","Stamping---Clean---Packaging---Finished Product","-","","Use","CHINA"
"Tooling","48","STL","BLADE-MEDIUM/HIGH","48187092AA","01","D21.TL.54","2024","Progressive Tooling","110T","","","70","Progressive Tooling / （2 Cav.）","1&2","","","","","T2Y2","2","30*44.5","REG4-AAAPSG","Unilateral / 0.1mm","Zhaoxing","","Stamping---Clean---Packaging---Finished Product","-","","Use","CHINA"
"Tooling","49","STL","Blade-EMLB / Blade-LOW","GHJ16017 / 48187093AA","01 / 02","D21.TL.55","2024","Progressive Tooling","160T","","","60","Progressive Tooling / （2 Cav.）","1&2","","","","","T2Y2","2","31.5*45","REG4-AAASEE / REG4-AAAPSH","Unilateral / 0.08mm","Zhaoxing","","Stamping---Plating---Packaging---Finished Product","-","","Use","CHINA"
"Tooling","50","STL","MID - TERM / HEATER-I JR","48187254AA","03","Transfer tooling","2024","Progressive Tooling","110T","3#&5#","","50","Progressive Tooling / （1 Cav.）","1JR","","","","","1 JR TYPE 1 ELEC ALLOY CF ANL","2","30*28","REG4-AAASWK","","_","","Stamping---TAP----Plating---Packaging---Finished Product","2021-12-21","","Use","THAI"
"Tooling","51","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","CUP","TM-818-1","","21-TER008","2024","Progressive Tooling","500T","8#","","25","Progressive Tooling / （1 Cav.）","NO","","","","","SPH270D-0D","3.2","140*128","","Unilateral / 0.38mm","TJD","","Stamping-Welding-Riveting-Selection-Packaging","2022-2-13","","Use","THAI"
"Tooling","52","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","Outer","TM-806A-1","","21-TER009","2024","Progressive Tooling","500T","8#","","30","Progressive Tooling / （1 Cav.）","NO","","","","","SPC270D","1.6","208*179","","Unilateral / 0.14mm","SHAOHS","","Stamping---Packaging---Finished Product","2022-8-3","","Use","THAI"
"Tooling","53","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","LWR PLATE","MC-103A-2","","23-TRE016","2024","Progressive Tooling","500T","8#","","30","Progressive Tooling / （1 Cav.）","NO","","","","","SAPH440","5.0","180*124","","Unilateral / 0.6mm","SHAOHS","","","","","Use","THAI"
"Tooling","54","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","UPR CUP","SB-059C-2","","23-TRE017-1","2024","Progressive Tooling","500T","8#","","20","Progressive Tooling / （1 Cav.）","NO","","","","","SAPH440","2.6","232*220","","","ZHangXN","","Stamping---Packaging","","","Use","THAI"
