"no","partNumber","toolNumber","dwNumber","nameEn","specifications","material","quantityInStock","picture","minInventory","maxInventory"
"98","1188861+62","QT25.JS.068-2","3","L position plate","9.90x98.0x62.50","Cr12","1","spare-part-images/098-1188861-62-3.png","1","2"
"99","1188861+62","QT25.JS.068-2","4","R pressure plate","10.0x86.50x63.50","Cr12","1","spare-part-images/099-1188861-62-4.png","1","2"
"100","1188861+62","QT25.JS.068-2","5","L pressure plate","10.0x93.0x63.50","Cr12","1","spare-part-images/100-1188861-62-5.png","1","2"
"101","1188861+62","QT25.JS.068-2","8","irregular shaft core","Ø50.6x17.0","Cr12MoV","1","spare-part-images/101-1188861-62-8.png","1","2"
"102","1188861+62","QT25.JS.068-2","9","Full tooth shaft","Ø48x17.0","Cr12MoV","1","spare-part-images/102-1188861-62-9.png","1","2"
"103","1188861+62","QT25.JS.068-2","10","Positioning Post","Ø5.2x19","Cr12","1","spare-part-images/103-1188861-62-10.png","1","2"
"104","1188861+62","QT25.JS.068-2","11","Positioning Post","Ø4.10x19","Cr12","1","spare-part-images/104-1188861-62-11.png","1","2"
"105","1188861+62","QT25.JS.068-2","12","Positioning Post","Ø4.61x19","Cr12","1","spare-part-images/105-1188861-62-12.png","1","2"
"106","1188861+62","QT25.JS.068-2","13","Positioning Post","Ø3.91x19","Cr12","1","spare-part-images/106-1188861-62-13.png","1","2"
"107","1188861+62","QT25.JS.068-2","14","Positioning Post","Ø4.01x19","Cr12","1","spare-part-images/107-1188861-62-14.png","1","2"
"108","1188861+62","QT25.JS.068-2","15","Positioning Post","Ø3.26x19","Cr12","1","spare-part-images/108-1188861-62-15.png","1","2"
"109","1188861+62","QT25.JS.068-2","16","Positioning Post","Ø3.51x19","Cr12","1","spare-part-images/109-1188861-62-16.png","1","2"
"110","1185900/1100777","Q25JS029","56","Lower mold insert","33.00x65.00x30.00","Cr12MoV","1","spare-part-images/110-1185900-1100777-56.png","1","2"
"111","1185900/1100777","Q25JS029","58","Punching punch","54.82x47.30x79.50","Cr12MoV","1","spare-part-images/111-1185900-1100777-58.png","1","2"
"112","1185900/1100777","Q25JS029","60","Punching punch","34.20x57.87x79.00","Cr12MoV","1","spare-part-images/112-1185900-1100777-60.png","1","2"
"113","1185900/1100777","Q25JS029","62","Lower mold insert","57.82x46.30x31.50","Cr12MoV","1","spare-part-images/113-1185900-1100777-62.png","1","2"
"114","1185900/1100777","Q25JS029","65","Lower mold insert","120.00x31.00x120.00","45#","1","spare-part-images/114-1185900-1100777-65.png","1","2"
"115","1185900/1100777","Q25JS029","66","Forming punch","87.00x54.00x120.00","Cr12MoV","1","spare-part-images/115-1185900-1100777-66.png","1","2"
"116","1185900/1100777","Q25JS029","69","Upper block","106.00x34.00x83.00","Cr12MoV","1","spare-part-images/116-1185900-1100777-69.png","1","2"
"117","1185900/1100777","Q25JS029","71","Lower mold insert","88.00x66.00x35.00","Cr12MoV","1","spare-part-images/117-1185900-1100777-71.png","1","2"
"118","1185900/1100777","Q25JS029","72","Lower block","120.00x64.00x5.00","45#","1","spare-part-images/118-1185900-1100777-72.png","1","2"
"119","1185900/1100777","Q25JS029","73","Forming punch","87.00x54.00x120.00","Cr12MoV","1","spare-part-images/119-1185900-1100777-73.png","1","2"
"120","1185900/1100777","Q25JS029","74","Lower mold insert","120.00x31.00x120.00","45#","1","spare-part-images/120-1185900-1100777-74.png","1","2"
"121","1185900/1100777","Q25JS029","75","Punching punch","50.58x53.00x48.00","Cr12MoV","1","spare-part-images/121-1185900-1100777-75.png","1","2"
"122","1185900/1100777","Q25JS029","76","Punching punch","49.10x49.10x31.00","Cr12MoV","1","spare-part-images/122-1185900-1100777-76.png","1","2"
"123","1185900/1100777","Q25JS029","77","Lower mold insert","82.00x78.00x15.90","Cr12MoV","1","spare-part-images/123-1185900-1100777-77.png","1","2"
